Internal ID,External ID,Source
rxn00740,YML082W,BiGG
rxn00741,2HBO,BiGG
rxn00741,LDH2,BiGG
rxn00742,CYS3,BiGG
rxn00742,CYSTGL,BiGG
rxn00742,CYSTGLr,BiGG
rxn00743,ALKP,BiGG
rxn00743,ALKPr,BiGG
rxn00744,DAK1,BiGG
rxn00744,DAK2,BiGG
rxn00744,DHAK,BiGG
rxn00745,DHAPT,BiGG
rxn00747,TPI,BiGG
rxn00748,MGSA,BiGG
rxn00751,CHOLK,BiGG
rxn00751,CKI1,BiGG
rxn00756,CHOLSH,BiGG
rxn00758,GPDDA1,BiGG
rxn00758,GPDDA1pp,BiGG
rxn00762,GLYCDx,BiGG
rxn00763,ALCD19,BiGG
rxn00764,GLYCDy,BiGG
